role,company,location,date_posted,min_experience,employment_type,category,remote,details,tags,ad_link
Υπάλληλος για το τμήμα του IT Support (Χανιά),GELASAKIS GROUP OF COMPANIES,Χανιά,πριν 13 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Πληροφορική,,"['Ο Όμιλος Γελασάκη είναι ένας ιδιωτικός όμιλος εταιρειών που εδρεύει στην Ελλάδα και δρα επιχειρηματικά σε ολόκληρο τον κόσμο.', 'Οι δραστηριότητες εστιάζονται σε τρεις κύριους τομείς: τουρισμό, ναυτικές υπηρεσίες και φιλοξενία.', 'Ο Όμιλος αναζητά εργαζόμενο για την στελέχωση θέσης στο τμήμα του IT Support της εταιρείας στα Χανιά.', 'Προσόντα', '·    Πτυχίο Πληροφορικής ή άλλης παρεμφερούς σχολής', '·    Γνώση διαχείρισης Active Directory, Office 365.', '·    Καλή γνώση βασικών αρχών δικτύωσης Η/Υ (τοπολογία, καλωδίωση, δρομολόγηση),', '·    Επιθυμητή η γνώση στην υλοποίηση και τεχνική υποστήριξη συστημάτων πληροφορικής', '·    Επιθυμητή προϋπηρεσία τουλάχιστον 2 ετών.', '·    Άπταιστα αγγλικά.', '·    Διαπροσωπικές δεξιότητες.', '·    Εκπληρωμένες στρατιωτικές υποχρεώσεις', 'Παροχές', '•   Μόνιμη και πλήρης απασχόληση.', '•   Αμοιβές ανάλογες προσόντων.', '•   Δυνατότητες εξέλιξης.']",[],https://www.kariera.gr/en/jobs/it-jobs/223524
IT Systems Trainer and Support (Fixed term contract),Netcompany-Intrasoft,Λευκάδα,πριν 17 μέρες,,Πλήρης απασχόληση,Πληροφορική,,"['Are you ready to discover the role of an IT Systems Trainer & Support operator in Netcompany-Intrasoft?', 'IT Systems Trainer and Support operator,', 'As an IT Systems Trainer and Support operator you will:', 'DeliverBusiness Applications training and support (on-the-job training, remote training, structured classroom training) to users', 'Prepare and update the training material', 'Provide 1st and 2nd level user support to clients.', 'What would make you a fit for the role:', 'Bachelor degree in Computer Science / Information Technology or Law', 'Experience with ticketing systems such as Atlassian JIRA or similar', 'Experience in being the liaison with other teams to identify issues and support issue resolution', 'Excellent knowledge of MS Office suite', 'Strong customer service orientation', 'Good communication & presentation skills', 'Very good command of the English language', 'It would also be a plus if you match some of the following:', 'Previous experience in business applications training and user support services, preferably within the public sector', 'Knowledge of e-learning platforms and tools.', 'Being a part of the Netcompany-Ιntrasoft team, you will be provided with:', 'A seamless onboarding experience and a buddy to support you on your first steps', 'A competitive compensation & benefits package', 'Health and life insurance program', 'Meal allowance', 'Learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings).', 'Our culture', 'Values', '#BePartOfSomethingGreat!', 'Please submit your CV in English. All applications will be treated as strictly confidential.']",[],https://www.kariera.gr/en/jobs/it-jobs/215968?origin=pjp
IT Service Desk Agent (German Speaking),Netcompany-Intrasoft,Αθήνα,πριν ένα μήνα,,Πλήρης απασχόληση,Πληροφορική,,"['IT Service Desk Agent (German Speaking)', 'IT Service Desk Agent', 'As an', 'IT Service Desk Agent you will:', 'Manage the full lifecycle of an incident received from customer in Issue tracking software (JIRA)', 'Investigate, analyse and resolve an incident or service request', 'Hand over the incident to internal teams', 'Prepare documentation when needed', 'Maintain standard system configurations', 'Collaborate with internal and external stakeholders', 'What would make you a fit for the role:', 'Computer Science, Software Engineering or relevant IT field', 'Understanding of markup languages (xml,xsd)', 'Strong communication verbal & written skills. To be able to communicate with IT and Business teams (internal & external)', 'Ability to multitask and prioritise', 'Fluency in English, German', 'Being a part of the Netcompany-Ιntrasoft team, you will be provided with:', 'The opportunity to work in a modern environment & in a hybrid working model', 'A seamless onboarding experience and a buddy to support you on your first steps', 'A competitive compensation & benefits package', 'Health and life insurance program', 'Meal and commuting allowance', 'Well-being activities (on premises)', 'Continuous learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings)', 'A personalized development plan for targeted career growth', 'Our culture', 'Values', '#BePartOfSomethingGreat!', 'Please submit your CV in English. All applications will be treated as strictly confidential.']",[],https://www.kariera.gr/en/jobs/it-jobs/198970?origin=pjp
IT Engineer,ΕΛΤΑ Α.Ε,Αθήνα,πριν 11 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Πληροφορική,,"['Στα ΕΛΤΑ, επενδύουμε στους ανθρώπους μας — σε εκείνους που στηρίζουν με\nτεχνική επάρκεια και συνέπεια την καθημερινή λειτουργία της εταιρίας και χτίζουν\nμαζί μας το αύριο.', 'Αναζητούμε δύο νέα στελέχη Πληροφορικής που θα ενισχύσουν τις ομάδες μας στην\nυποστήριξη κρίσιμων πληροφοριακών υποδομών και εφαρμογών.', 'Αν έχεις διάθεση να προσφέρεις, να αναλάβεις ρόλο με ουσία και να εξελιχθείς σε\nένα περιβάλλον που αλλάζει με σχέδιο, μπορείς να κάνεις το επόμενο βήμα στην\nεπαγγελματική σου πορεία — εκεί όπου η συνέπεια και η αξιοπιστία έχουν\nπραγματική αξία.\n\nΡόλος', 'Ρόλος', 'Ως IT Engineer, θα αναλάβεις την τεχνική υποστήριξη υποδομών και δικτύου,\nσυμβάλλοντας καθοριστικά στην απρόσκοπτη λειτουργία των πληροφοριακών μας\nσυστημάτων.', 'Κύριες Αρμοδιότητες', 'Κύ', 'ριες Αρμοδιότητες', '• Υποστήριξη εξοπλισμού και εφαρμογών.\n• Διάγνωση και επίλυση τεχνικών προβλημάτων.\n• Διαχείριση περιβάλλοντος Microsoft 365 και Azure (Entra).\n• Ρυθμίσεις δικτύου (VPN, VLANs, firewalls).\n• Ticketing, τεκμηρίωση και βελτίωση διαδικασιών.', 'Απαραίτητα Προσόντα', 'Απαραίτητα Προσόντα', '• Τουλάχιστον 3 χρόνια εμπειρίας σε IT Support.\n• Καλή γνώση Windows OS, Active Directory, DNS, DHCP.\n• Εμπειρία σε MSSQL και cloud περιβάλλοντα (Microsoft Azure).\n• Κατανόηση βασικών αρχών ασφάλειας και δικτύων.\n• Καλή γνώση αγγλικών και ομαδικότητα.', 'Γιατί να εργαστείς μαζί μας', 'Γιατί να εργαστείς μαζί μας', '• Συμμετοχή στον ψηφιακό μετασχηματισμό ενός οργανισμού με\nσταθερότητα, αποστολή και μέλλον.\n• Πραγματική ευκαιρία ανάπτυξης σε ένα σύγχρονο εργασιακό περιβάλλον.\n• Έμφαση στη συνεχή επιμόρφωση και στη διαμόρφωση ουσιαστικού\nεπαγγελματικού ρόλου', 'Αποστολή βιογραφικών από 8 Μαΐου έως τις 28 Μαΐου 2025 με θέμα τη θέση εργασίας, που σας ενδιαφέρει']","['πληροφορική', 'sql queries', 'computer science', 'εφαρμογες']",https://www.kariera.gr/en/jobs/it-jobs/224200
IT Business Analyst,ALUMIL S.A.,Θεσσαλονίκη,πριν 18 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Πληροφορική,,"['Alumil, one of the most evolved and technologically advanced groups in research, development and producing of architectural aluminium systems in Europe, desires to cover the following position:', 'Alumil, one of the most evolved and technologically advanced groups in research, development and producing of architectural aluminium systems in Europe, desires to cover the following position:', 'IT Business Analyst', 'IT Business Analyst', 'The role', 'The role', ""Our IT Business Analyst is an integral part of a cross-functional, fast-evolving team that bridges the gap between technology and business needs. Your daily life involves engaging with users, developers, and external IT partners to gather, evaluate, and translate business requirements into precise, actionable plans. When a new IT project is initiated, you're the first to dive into understanding the needs behind it—identifying stakeholders, capturing the requirements and ensuring that every technical aspect aligns with the business goals. You guide the process from concept to delivery, making sure that what gets built is not only functional but truly fits the users' needs. Whether you’re drafting project documentation, running a cost-benefit analysis, or supporting user training, your work has a direct impact on project success and team alignment. This is a full-time on-site role as an IT Business Analyst at Alumil located in Thessaloniki."", 'Your impact', 'Your impact', ""To thrive in this role, you need a strong analytical mindset and a deep understanding of both technical systems and business operations. But that's just the start. We're looking for a people-focused professional—someone who can simplify complexity, navigate competing priorities, and communicate clearly with everyone from stakeholders to developers. You love the pace, the variety, and the satisfaction of seeing a well-built solution come to life. Your main focus at the moment is in implementing an ERP transition, together with the rest of the team. Your daily routine is rigorous but ever challenging!"", 'Requirements', 'Proven experience for 2-5 years in a similar position is required', 'Bachelor in IT, Business Administration, Economics or any relevant background', 'MSc in MBA, Informatics or Project Management will be a plus', 'Excellent use of English (oral and written)', 'SAP ERP knowledge would be an asset', 'Desired knowledge of ERP, WMS, CRM, BI, B2B programs', 'Ability to travel abroad', 'Good knowledge of Databases (SQL)', 'Knowledge of German will be a plus', 'Organization & communication skills', 'Problem-solving ability and critical thinking', 'Benefits', 'Provision of private life & health insurance', 'Benefits according to performance', 'Continuous learning and support', 'Excellent working environment', 'Annual training plan based on your needs', 'Role specific benefits', 'About us', 'About us', 'At ALUMIL we are building excellence every day.', 'Alumil has more than 30 years of experience in the production of architectural aluminium systems and more than 3.000 employees. We are one of the most advanced companies globally owning state-of-the art production lines in our 12 factories in Europe. Alumil, is a family-owned business that also embraces all of its employees like family. Our culture’s primary focus is on integrity, team spirit, initiative, loyalty, sustainability and “meraki” (spirited work).', 'ALUMIL opposes any discrimination, unequal treatment and violation of human rights and ensures the provision of equal opportunities at work. When hiring and evaluating employees, it does not discriminate based on race, gender, religion, age, disability, sexual orientation, nationality, political beliefs or social status.']","['crm', 'sap erp', 'project management', 'information technology', 'erp', 'business consulting', 'business consultant', 'business analyst', 'business analysis', 'alumil']",https://www.kariera.gr/en/jobs/it-jobs/222321?origin=pjp
IT Systems Trainer and Support (Fixed term contract),Netcompany-Intrasoft,Ξάνθη,πριν 21 μέρες,,Πλήρης απασχόληση,Πληροφορική,,"['Are you ready to discover the role of an IT Systems Trainer & Support operator in Netcompany-Intrasoft?', 'IT Systems Trainer and Support operator,', 'As an IT Systems Trainer and Support operator you will:', 'DeliverBusiness Applications training and support (on-the-job training, remote training, structured classroom training) to users', 'Prepare and update the training material', 'Provide 1st and 2nd level user support to clients.', 'What would make you a fit for the role:', 'Bachelor degree in Computer Science / Information Technology or Law', 'Experience with ticketing systems such as Atlassian JIRA or similar', 'Experience in being the liaison with other teams to identify issues and support issue resolution', 'Excellent knowledge of MS Office suite', 'Strong customer service orientation', 'Good communication & presentation skills', 'Very good command of the English language', 'It would also be a plus if you match some of the following:', 'Previous experience in business applications training and user support services, preferably within the public sector', 'Knowledge of e-learning platforms and tools.', 'Being a part of the Netcompany-Ιntrasoft team, you will be provided with:', 'A seamless onboarding experience and a buddy to support you on your first steps', 'A competitive compensation & benefits package', 'Health and life insurance program', 'Meal allowance', 'Learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings).', 'Our culture', 'Values', '#BePartOfSomethingGreat!', 'Please submit your CV in English. All applications will be treated as strictly confidential.']",[],https://www.kariera.gr/en/jobs/it-jobs/221686?origin=pjp
IT Systems Trainer and Support (Fixed term contract),Netcompany-Intrasoft,Λάρισα,πριν 21 μέρες,,Πλήρης απασχόληση,Πληροφορική,,"['Are you ready to discover the role of an IT Systems Trainer & Support operator in Netcompany-Intrasoft?', 'IT Systems Trainer and Support operator,', 'As an IT Systems Trainer and Support operator you will:', 'DeliverBusiness Applications training and support (on-the-job training, remote training, structured classroom training) to users', 'Prepare and update the training material', 'Provide 1st and 2nd level user support to clients.', 'What would make you a fit for the role:', 'Bachelor degree in Computer Science / Information Technology or Law', 'Experience with ticketing systems such as Atlassian JIRA or similar', 'Experience in being the liaison with other teams to identify issues and support issue resolution', 'Excellent knowledge of MS Office suite', 'Strong customer service orientation', 'Good communication & presentation skills', 'Very good command of the English language', 'It would also be a plus if you match some of the following:', 'Previous experience in business applications training and user support services, preferably within the public sector', 'Knowledge of e-learning platforms and tools.', 'Being a part of the Netcompany-Ιntrasoft team, you will be provided with:', 'A seamless onboarding experience and a buddy to support you on your first steps', 'A competitive compensation & benefits package', 'Health and life insurance program', 'Meal allowance', 'Learning opportunities using the most modern methods (unlimited access to Udemy for Business, ad-hoc trainings).', 'Our culture', 'Values', '#BePartOfSomethingGreat!', 'Please submit your CV in English. All applications will be treated as strictly confidential.']",[],https://www.kariera.gr/en/jobs/it-jobs/221676?origin=pjp
IT Business Analyst,ΜΠΑΡΜΠΑ ΣΤΑΘΗΣ MON ΑΕ,Εχέδωρο,πριν 22 μέρες,Entry / Αρχάριος,Πλήρης απασχόληση,Πληροφορική,,"['Aναζητούμε IT Business Analyst για την ομάδα της Διεύθυνσης ΙΤ στις εγκαταστάσεις μας στη ΒΙ.ΠΕ. Σίνδου, στη Θεσσαλονίκη.\n\nΗ συγκεκριμένη θέση αναφέρεται στον IT Business Analyst Officer και στόχος είναι η πραγματοποίηση και ο συντονισμός όλων των απαραίτητων ενεργειών για την επιτυχή υλοποίηση ενός έργου πληροφορικής.\n\n\nΚύρια καθήκοντα\n\n•    Κατανόηση επιχειρησιακών αναγκών που αφορούν τη Διεύθυνση ΙΤ \n•    Οργάνωση και συντονισμός όλων των απαραίτητων ενεργειών με στόχο την ορθή υλοποίηση των έργων πληροφορικής\n•    Επικοινωνία με χρήστες, ομάδα υλοποίησης και εξωτερικούς συνεργάτες\n•    Ανάλυση επιχειρησιακών αναγκών και εντοπισμός πιθανών λύσεων', 'IT Business Analyst', 'Κύρια καθήκοντα', 'Απαραίτητα προσόντα\n\n•    Πτυχίο Πληροφορικής\n•    Εργασιακή εμπειρία 2+ έτη σε σχετική θέση\n•    Πολύ καλή γνώση συγκεκριμένων συστημάτων όπως ERP, WMS, CRM\n•    Άριστη γνώση της αγγλικής γλώσσας\n•    Εξαιρετικές οργανωτικές και επικοινωνιακές δεξιότητες\n•    Ικανότητα επίλυσης προβλημάτων\n•    Εξοικείωση με τη γλώσσα προγραμματισμού SQL θα θεωρηθεί επιπλέον προσόν', 'Απαραίτητα προσόντα', 'Τι προσφέρουμε\n\n•    Πλήρη απασχόληση\n•    Δυνατότητα επαγγελματικής & μισθολογικής εξέλιξης \n•    Ιδιωτική ασφάλεια\n•    Συνεχή εκπαίδευση και καθοδήγηση \n•    Δωρεάν μετακίνηση εργαζομένων με εταιρικά μέσα\n\n\nΕάν θέλετε να γίνετε μέρος της ομάδας Μπάρμπα Στάθης, στείλτε το βιογραφικό σας σημείωμα στο: hr@barbastathis.com', 'Τι προσφέρουμε']",[],https://www.kariera.gr/en/jobs/it-jobs/221433
ΤΕΧΝΙΚΟΣ Η/Υ,ΙΜΕ ΠΛΗΡΟΦΟΡΙΚΗ,Πάτρα,πριν 6 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Πληροφορική,,"['Η ΙΜΕ Πληροφορική από το 1977 εξειδικεύεται στην ανάπτυξη λογισμικού για την παροχή μηχανογραφικών λύσεων. Έχει έδρα την Πάτρα και υποκατάστημα στην Αθήνα. Απασχολεί περισσότερα από 35 άτομα και διαθέτει συνεργάτες σε όλη την Ελλάδα. Κατά κύριο λόγο οι πελάτες μας είναι συγκοινωνιακοί οργανισμοί και καταστήματα εστίασης προσφέροντας ολοκληρωμένες λύσεις μηχανογράφησης. Αναζητούμε άτομα για την στελέχωση του τεχνικό τμήμα στην Πατρα. Ο/Η υποψήφιος/α θα εκπαιδευτεί σταδιακά ώστε να αναλάβει θέση στο τεχνικό τμήμα της εταιρίας.', 'Απαραίτητες προϋποθέσεις:', 'Απαραίτητες προϋποθέσεις:', 'Πτυχίο πληροφορικής ΑΕΙ ΤΕΙ', 'Γνώση MS OFFICE, WORD, EXCEL', 'Δυνατότητες επικοινωνίας σε γραπτό και προφορικό λόγο', 'Άριστες ικανότητες οργάνωσης και συνεργασίας', 'Δίπλωμα Οδήγησης Ι.Χ.', 'Τι Προσφέρουμε:', 'Τι Προσφέρουμε:', 'Ανταγωνιστικό πακέτο αποδοχών', 'Θέση εργασίας πλήρους απασχόλησης', 'Συνεχή εκπαίδευση.', 'Υποστήριξη και επίβλεψη από έμπειρα στελέχη', 'Είδος Εργασίας: Μόνιμος, Πλήρης απασχόληση']","['τεχνικος υποστηριξης it', 'τεχνικός υπολογιστών, it, τεχνική υποστήριξη, τεχνολογική εταιρεία, δίκτυα, τεχνικός η/υ δικτύων και τηλεπικοινωνιών']",https://www.kariera.gr/en/jobs/it-jobs/225562
Senior Design Engineer,IFSAS S.A.,Θεσσαλονίκη,πριν 25 μέρες,Με μεγάλη εμπειρία,Πλήρης απασχόληση,Μηχανικοί,,"['Η θέση αναφέρεται στον Head of North Greece, εδρεύει στο γραφείο της Θεσσαλονίκης και περιλαμβάνει τα εξής καθήκοντα / αρμοδιότητες.', 'Head of North Greece', 'Κύριες Αρμοδιότητες:', 'Επιλογή βέλτιστης οικονομοτεχνικής λύσης ανά ζήτηση', 'Κατάστρωση της τεχνικής λύσης και του κοστολογίου αυτής', 'Κατάστρωση σχεδίων και διαγραμμάτων για την υποστήριξη της πρότασης', 'Σύνταξη και υποβολή προσφορών ειδικών έργων', 'Παρακολούθηση εξελίξεων τεχνολογίας, νέων υλικών κατασκευαστών και τιμοκαταλόγων', 'Τεχνική υποστήριξη στους πωλητές σε αυτοψίες', 'Συνεργασία με Τμήμα Marketing για συγγραφή υλικού προώθησης νέων προϊόντων – υπηρεσιών', 'Παρακολούθηση του ανταγωνισμού και αξιολόγηση των τάσεων της αγοράς', 'Συμμετοχή σε εκδηλώσεις, συνέδρια και εμπορικές εκθέσεις με στόχο την προσέγγιση νέων πελατών', 'Συμμετοχή σε προγράμματα εκπαίδευσης του τμήματος', 'Απαραίτητα Προσόντα:', 'Προϋπηρεσία (άνω των 4 ετών) στον ίδιο ή σε κλάδο τεχνολογίας', 'Πτυχίο ΑΕΙ/ΤΕΙ με γνώσεις Ηλεκτρονικής / Πληροφορικής (Ηλεκτρολόγος Μηχανικός και Μηχανικός Υπολογιστών)', 'Άριστη γνώση της αγγλικής γλώσσας (σε προφορικό και γραπτό λόγο)', 'Άριστη γνώση χειρισμού εφαρμογών Η/Υ (Λειτουργικό Σύστημα, Autocad, Εφαρμογές, Hardware, ERP)', 'Ομαδικό πνεύμα', 'Ικανότητα Επίλυσης προβλημάτων και αναλυτική σκέψη', 'Άδεια οδήγησης αυτοκινήτου', 'Παροχές Εταιρείας:', 'Ανταγωνιστικό πακέτο αποδοχών', 'Συνεχής υποστήριξη και εκπαίδευση', 'Άριστο περιβάλλον εργασίας', 'Εταιρικό Αυτοκίνητο', 'Κινητό τηλέφωνο & Φορητό Υπολογιστή', 'Ομαδικό Πρόγραμμα Υγείας & Συνταξιοδοτικό']","['πτυχίο αει/τει με γνώσεις ηλεκτρονικής / πληροφορικής (μηχανολόγος μηχανικός & μηχανικός υπολογιστών)', 'mechanical engineer', 'engineering', 'πληροφορική', 'it', 'erp', 'μηχανολογοσ']",https://www.kariera.gr/en/jobs/engineering-jobs/220857
Web Developer,goferry,Νέα Μάκρη,πριν 7 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Πληροφορική,Εργασία από απόσταση κάποιες ημέρες,"['Are you a skilled mid-level Web Developer with a strong technical foundation looking to take the next step in your career? Would you like to grow your impact by joining a leading Online Travel Agency (OTA) that’s shaping the future of online reservation systems with innovative technologies?', 'Web Developer', 'The Web Developer position is full-time and permanent, based in Nea Makri, East Attica, Greece. The working model can be hybrid.', 'The Web Developer position is full-time and permanent', 'The working model can be hybrid.', 'GOFERRY is a leading online ferry booking system that has been operating worldwide since 2007. Our team currently develops online ferry booking systems for end users and B2B applications.', 'As a Web Developer, you will join our experienced development team and work with the latest technologies in .NET and front-end UI frameworks. You’ll contribute to building and maintaining modern, high-performance booking systems for users worldwide. In this role, you will take ownership of key development tasks on large-scale .NET and Vue projects. You will work closely with your agile team to ensure efficient and high-quality delivery, while also collaborating with colleagues to troubleshoot issues, implement solutions, and enhance the user experience. You will actively participate in coding, reviewing pull requests, and contribute to ongoing improvements, all while focusing on continuous learning and growth within the team.', 'Web Developer', 'Duties', 'Duties', 'As a Web Developer, you will join an autonomous team of software engineers, and your primary duties will be the following:', 'Web Developer', '● Design, build, and maintain efficient, reusable, and reliable code\n● Develop data processing solutions per specifications\n● Support bug fixes and existing feature enhancements\n● Utilize, communicate and follow coding standards', 'Tech stack: Most sites and services are written in C# / ASP.NET, and new services are written in .NET Core. New applications use vue.js in the front end, while older ones use jQuery. MS SQL Server is used for most storage needs, but Redis is used when applicable. In addition, the company uses Git for code versioning and CI.', 'Prerequisites', 'Prerequisites', '● Minimum 2 years of experience\n● Good knowledge of C# .NET Core, EF Core, jQuery, Vue.js or similar frameworks, MS SQL\n● Good knowledge of CSS3, HTML (HTML5), Responsive web design\n● English speaking', 'Desired', 'Desired', '● Experience with complex applications, APIs and BackOffice systems\n● Basic knowledge of Varnish, Redis, and other supplementary technologies used in the modern development process\n● Experience with Git based development workflows and agile software processes\n● Continuous Integration/ Delivery (CI/CD) Methods\n● Azure Pipelines', 'Benefits', 'Benefits', '● Join a medium-sized team of highly motivated developers\n● Competitive remuneration package\n● Semi-flexible working hours\n● Possibility of hybrid collaboration (remote work-office presence)']","['mid web developer', 'web developer', '.net', 'vue', 'c#, html, java, css, asp.net', 'ef core', 'vue.js', 'ms sql', 'full stack web developer', 'microsoft azure', 'front - end developers', 'back end developers', 'permanent contract full time hybrid it', 'νεα μακρη', 'σταυρος', 'γλυκα νερα', 'παλληνη', 'γερακας', 'παιανια', 'κορωπι']",https://www.kariera.gr/en/jobs/it-jobs/225033
Senior Procurement Officer (Bank Sector),Mellon Technologies,Αθήνα,πριν 14 μέρες,Με μεγάλη εμπειρία,Πλήρης απασχόληση,Πληροφορική,,"['Mellon Technologies SA, seeks to hire a Senior Procurement Officer on behalf of a large Financial Institute.', 'Senior Procurement Officer', 'By joining this role, you’ll be part of the IT Strategic Procurement Department which is responsible for managing and processing demand related to IT goods and services as requested by the Bank’s Units and Subsidiaries.', 'Key Responsibilities:', 'Key Responsibilities:', '·        Management of requests mainly of a strategic nature and conducting tenders for the supply of services and goods in IT projects, to new and existing suppliers, to cover the needs of the Group. For example, the IT Procurement Department deals with projects that contribute to the completion of the Bank Transformation Program plan, Cloud Provider & Services project, projects concerning systemic implementation of HR, IT Outsourcing projects etc.', '·        Conducting negotiations with suppliers, indicatively regarding costs and specifications for new as well as existing (business as usual) projects and requests.', '·        Monitoring spend under his/hers responsibility. Identification of operational improvements for the Bank and management of related actions.', '·        Direct cooperation with the requesting Units to understand and process their requests, as well as with other Support Units regarding the completeness of the requests (budget, etc.).', '·        Adherence to a code of ethics in all communications with suppliers.', '·        Preparation and submission of requests for approval to the Banks’ Group Procurement Committee and their presentation.', 'Requirements', '·        Have 5 years professional experience within an established organization in Procurement or in a related field', '·        Hold a Degree of Higher Educational Institution in Finance, Business, Engineering, or a quantitative field of study', '·        Are Proficient of the MS Office suite. ERP knowledge (i.e. SAP) is also a desirable attribute.', '·        Are fluent in the English language.', '·        Have negotiation skills.', '·        Have developed communication skills with an emphasis on the ability to exercise influence.', '·        Have the ability to communicate well and collaborate with internal customers and suppliers.', '·        Have adaptive thinking and perception.', '·        Have a developed level of initiative with an emphasis on the ability to make quick decisions and the ability to solve problems immediately.', 'Benefits', '·   Competitive Remuneration Package', '·   Career Development and Training', '·   A working environment where you feel valued and appreciated', '·   Mon - Fri Full Time']","['banking', 'procurement officer', 'procurement', 'it']",https://www.kariera.gr/en/jobs/it-jobs/223341
Tεχνικός Service-Ηλεκτρονικός,Novidea,Ταύρος,πριν 8 μέρες,Με κάποια εμπειρία,Πλήρης απασχόληση,Τεχνικοί / Service,,"['Αρμοδιότητες:\n- Επισκευές συσκευών τερματικών (POS) σε επίπεδο Hardware (Τεχνικός πάγκου)', 'Αρμοδιότητες:', 'Προσόντα:\n- Επιθυμητή προϋπηρεσία 1-2 ετών με εμπειρία διάγνωσης, επίλυσης βλαβών και επισκευή μητρικών σε συσκευές POS, κινητών ή tablet.', 'Προσόντα:', '- Επιθυμητό το πτυχίο Τεχνικού/ Ηλεκτρονικού από ΑΕΙ/ ΤΕΙ/ ΙΕΚ/ ΕΠΑΛ/ ΟΑΕΔ', '- Γνώση χρήσης σε κολλητήρι, θερμό αέρα - πολύμετρο .', '- Ομαδικό πνεύμα συνεργασίας', 'Τι προσφέρουμε;\n- Συνεχή εκπαίδευση και σεμινάρια σε νέες τεχνολογίες για τερματικά πληρωμών', 'Τι προσφέρουμε;', '- Ανταγωνιστικό πακέτο αποδοχών', '- Ευχάριστο περιβάλλον εργασίας']","['τεχνικός υπολογιστών, it, τεχνική υποστήριξη, τεχνολογική εταιρεία, δίκτυα, τεχνικός η/υ δικτύων και τηλεπικοινωνιών']",https://www.kariera.gr/en/jobs/technicians-or-service-jobs/224779
